Unnamed: 0,Polygon,Overlay_sheet_ct,naId,Title_short
84,"[[37, 117], [38, 117], [38, 118], [37, 118]]",18,34608511,37N117E
85,"[[35, 60], [36, 60], [36, 61], [35, 61]]",18,34601248,35N060E
86,"[[35, 48], [36, 48], [36, 49], [35, 49]]",18,34600853,35N048E
87,"[[35, 41], [36, 41], [36, 42], [35, 42]]",18,34600704,35N041E
88,"[[34, 72], [35, 72], [35, 73], [34, 73]]",18,34598293,34N072E
89,"[[40, 110], [41, 110], [41, 111], [40, 111]]",18,44186521,40N110E
90,"[[40, 47], [41, 47], [41, 48], [40, 48]]",18,44186334,40N047E
91,"[[40, 31], [41, 31], [41, 32], [40, 32]]",18,44186150,40N031E
92,"[[39, 119], [40, 119], [40, 120], [39, 120]]",18,44182373,39N119E
93,"[[39, 44], [40, 44], [40, 45], [39, 45]]",18,44182026,39N044E
94,"[[42, 6], [43, 6], [43, 7], [42, 7]]",18,44191009,42N006E
95,"[[54, 42], [55, 42], [55, 43], [54, 43]]",18,44259880,54N042E
96,"[[53, 48], [54, 48], [54, 49], [53, 49]]",18,44256591,53N048E
97,"[[52, 174], [53, 174], [53, 175], [52, 175]]",18,44252161,52N174E
98,"[[52, 47], [53, 47], [53, 48], [52, 48]]",18,44252033,52N047E
99,"[[46, 43], [47, 43], [47, 44], [46, 44]]",18,44212702,46N043E
100,"[[44, 35], [45, 35], [45, 36], [44, 36]]",18,44201626,44N035E
101,"[[42, 15], [43, 15], [43, 16], [42, 16]]",18,44191584,42N015E
116,"[[69, 34], [70, 34], [70, 36], [69, 36]]",18,46712512,69N034-035E
117,"[[63, 38], [64, 38], [64, 39], [63, 39]]",18,46710469,63N038E
118,"[[56, 42], [57, 42], [57, 43], [56, 43]]",18,46704640,56N042E
119,"[[-2, 17], [-1, 17], [-1, 18], [-2, 18]]",18,46726365,02S017E
120,"[[-1, 37], [0, 37], [0, 38], [-1, 38]]",18,46725294,01S037E
121,"[[0, 174], [1, 174], [1, 175], [0, 175]]",18,46725012,00S174E
122,"[[-37, -71], [-36, -71], [-36, -70], [-37, -70]]",18,46723188,37S071W
123,"[[-35, -70], [-34, -70], [-34, -69], [-35, -69]]",18,46722967,35S070W
124,"[[-19, -68], [-18, -68], [-18, -67], [-19, -67]]",18,46719690,19S068W
125,"[[-19, -43], [-18, -43], [-18, -42], [-19, -42]]",18,46719377,19S043W
126,"[[-18, -44], [-17, -44], [-17, -43], [-18, -43]]",18,46719015,18S044W
127,"[[-16, -46], [-15, -46], [-15, -45], [-16, -45]]",18,46718248,16S046W
128,"[[-10, -77], [-9, -77], [-9, -76], [-10, -76]]",18,46716610,10S077W
129,"[[-7, -37], [-6, -37], [-6, -36], [-7, -36]]",18,46715412,07S037W
130,"[[-6, -36], [-5, -36], [-5, -35], [-6, -35]]",18,46714989,06S036W
131,"[[-23, 30], [-22, 30], [-22, 31], [-23, 31]]",18,46738425,23S030E
132,"[[-10, 123], [-9, 123], [-9, 124], [-10, 124]]",18,46736463,10S123E
133,"[[-8, 156], [-7, 156], [-7, 157], [-8, 157]]",18,46735584,08S156E
134,"[[-8, 116], [-7, 116], [-7, 117], [-8, 117]]",18,46735155,08S116E
135,"[[-8, 117], [-7, 117], [-7, 118], [-8, 118]]",18,46735174,08S117E
136,"[[-7, 23], [-6, 23], [-6, 24], [-7, 24]]",18,46734156,07S023E
137,"[[-6, 30], [-5, 30], [-5, 31], [-6, 31]]",18,46732656,06S030E
138,"[[-5, 28], [-4, 28], [-4, 29], [-5, 29]]",18,46731230,05S028E
139,"[[-5, 12], [-4, 12], [-4, 13], [-5, 13]]",18,46730877,05S012E
140,"[[-5, 13], [-4, 13], [-4, 14], [-5, 14]]",18,46730896,05S013E
141,"[[-3, 134], [-2, 134], [-2, 135], [-3, 135]]",18,46728887,03S134E
142,"[[-2, 19], [-1, 19], [-1, 20], [-2, 20]]",18,46726416,02S019E
143,"[[-30, 26], [-29, 26], [-29, 27], [-30, 27]]",18,46739406,30S026E
145,"[[1, -59], [2, -59], [2, -58], [1, -58]]",6,27818813,01N059W
